Coastal County Total Employment,,,,,,,,,,,,,,
% Change Employment,,,,,,,,,,,,,,
Year,Alaska,California Current,Caribbean,Gulf of Mexico,Hawaii,Lake Erie,Lake Huron,Lake Michigan,Lake Ontario,Lake Superior,Northeast,Southeast,Great Lakes,National
2006,1.86084425,2.000492166,-1.86617774,1.796008782,2.385668748,-1.45671857,-1.458433121,0.289540833,-0.383686799,-0.170299394,1.213692595,2.409271045,-0.63591941,1.145485054
2007,1.054420602,1.16588495,-1.861605905,2.252796285,1.200820515,-1.465286911,-1.480641362,0.276142412,0.117996474,-0.718634496,1.285175261,0.665418281,-0.654084777,0.638603151
2008,1.618486647,-0.290774888,-1.737475985,-0.4276096,-1.012513638,-2.136667419,-1.989310225,-0.447834025,-0.065290324,-0.746548694,-0.075908824,-1.688256237,-1.077130137,-0.586397833
2009,-0.183317377,-5.635039694,-4.870710877,-4.053534245,-4.420209164,-6.681357162,-7.10487254,-5.459550913,-2.671783858,-3.887175405,-3.468328175,-5.921455585,-5.160947976,-4.214192887
2010,1.036121108,-1.363961401,-2.292435436,-0.913477796,-0.912074589,-0.049831724,-1.143524083,-0.56407349,-0.185888642,-0.386116373,-0.178283307,-0.95542822,-0.465886862,-0.755678313
2011,1.748162975,1.111982052,-0.760427225,1.482961181,1.209716641,1.873776012,1.101936119,0.904745181,0.651821911,-1.693858464,0.935441742,1.372883397,0.567684152,0.958550615
2012,1.717765675,2.620842809,0.95127384,2.393092812,1.942356524,1.49457185,2.542001766,0.745133172,0.432419097,1.572938689,1.396135091,1.965718116,1.357412915,1.793074723
2013,0.641016525,2.717849992,-1.466719201,2.583025358,2.131111751,0.736920932,-0.972071584,1.057531846,0.019446724,0.208142536,1.356162295,2.25818122,0.209994091,1.303827754
2014,0.606553034,2.551640062,-1.593034505,2.895778064,1.264617433,0.86074456,0.687266405,1.115076579,0.609894411,-1.139290462,1.516649232,2.905548785,0.426738299,1.3218113
2015,0.091645833,2.884577975,-1.133438196,2.167924585,1.873796593,1.351884165,-0.424909919,1.397665731,0.739777626,-0.895042599,1.863674025,3.270193249,0.433875001,1.431531133
2016,-2.214325055,2.650533016,-0.485778645,0.718784248,1.52301715,1.166595819,0.908066774,1.243462993,0.894877926,-0.492903253,1.621807052,2.974564386,0.744020052,0.941577775
2017,-1.431077595,1.769858536,-2.310985106,0.737882489,0.981094032,0.762879212,-0.698264488,0.680115551,-0.347738201,-0.046871338,1.372839408,2.105068759,0.070024147,0.411838084
2018,-0.359233054,1.912650664,-1.425857458,1.566683465,0.602383811,0.702063504,-0.594155203,0.737477998,0.78242154,0.234466589,1.457674679,2.337987968,0.372454886,0.80809312
