Coastal County Tourism Wage Compensation,,,,,,,,,,,,,,
% Change Real Wage,,,,,,,,,,,,,,
Year,Alaska,California Current,Caribbean,Gulf of Mexico,Hawaii,Lake Erie,Lake Huron,Lake Michigan,Lake Ontario,Lake Superior,Northeast,Southeast,Great Lakes,National
2006,2.402018361,3.561706726,-2.217993693,0.838350657,12.20838053,7.953924236,-3.899550656,3.920952312,1.993819498,0.494827062,5.515445947,3.23971936,2.09279449,3.455052797
2007,3.030721797,4.054054951,-0.638271754,5.662358317,-5.658528319,3.82536075,4.50549962,2.870551899,2.8600751,2.148462108,1.610586498,3.496655543,3.241989895,1.849945866
2008,-0.143355654,0.547205721,-0.960165148,0.301066171,3.82542808,-0.386266578,-3.976549674,-0.687496568,-0.429036971,-4.441644928,-0.642781894,-0.651227175,-1.984198944,0.036496395
2009,-2.485920066,-4.827138468,-4.537116217,-0.286815884,-13.45226902,-2.775684286,-1.282539444,-1.692448618,0.590787004,0.721452737,-2.400618058,-2.821037143,-0.887686521,-3.962325172
2010,1.331437105,0.310349462,2.709582434,0.774357335,8.695523319,0.787105381,-0.04185902,1.383211361,2.480038569,2.023804426,2.217363795,0.648136436,1.326460144,2.251651254
2011,3.10577245,1.835241347,-0.577537125,1.502413032,-6.408297401,1.733026379,-1.930778353,-0.398841793,1.737693796,-1.712645475,1.225485941,2.742544122,-0.114309089,0.41391416
2012,2.982555999,4.428426837,1.910895324,4.098734922,5.242530107,1.331388418,2.425566007,1.295536273,2.04007103,2.362742308,3.930500632,2.382016713,1.891060807,3.358340168
2013,1.171802207,3.350667357,0.775927676,3.24372808,13.93725808,-1.004961693,1.437689889,3.322786278,13.03677991,-2.045197754,2.872414367,3.949853719,2.949419326,4.031383852
2014,3.863298103,6.049562059,1.571036659,5.548456689,3.686288479,3.03180073,-5.771001651,3.100581888,3.323852819,5.441430954,4.533337888,3.653510956,1.825332948,3.841352973
2015,6.580334604,8.253837399,3.736165413,7.24056439,5.189096528,6.274925874,4.53988362,4.26120586,5.275762482,6.486872099,6.820434958,9.86568507,5.367729987,6.631731044
2016,0.361422671,6.802166789,-2.330695851,3.32537059,4.768147999,5.433678931,9.403703656,3.992243947,5.666814242,3.206789675,4.344668029,4.670752735,5.54064609,3.435309882
2017,-0.921606373,4.001280799,-5.086299567,1.532614867,-2.695926911,2.383045465,1.308957417,4.153459341,-9.632715783,2.016298267,3.701937944,2.909732563,0.045808941,0.435942783
2018,1.71252181,4.58414022,-12.57664063,3.484940006,1.822681857,-1.987412017,1.223545294,6.618413425,3.325528697,2.212220224,2.969705047,3.039143613,2.278459125,0.914368881
