Marine Species Distribution,,,,,,
Change in Depth,,,,,,
Year,Alaska - Gulf of Alaska,Alaska - Eastern Bering Sea,Gulf of Mexico,Northeast,Southeast,California Current
1970,NA,NA,NA,NA,NA,NA
1971,NA,NA,NA,NA,NA,NA
1972,NA,NA,NA,NA,NA,NA
1973,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,0,NA,NA
1975,NA,NA,NA,NA,NA,NA
1976,NA,NA,NA,-5.468287182,NA,NA
1977,NA,NA,NA,-6.841003094,NA,NA
1978,NA,NA,NA,-7.898234751,NA,NA
1979,NA,NA,NA,-8.825034927,NA,NA
1980,NA,NA,NA,-8.503701208,NA,NA
1981,NA,NA,NA,-8.513459964,NA,NA
1982,NA,0,NA,-8.055218687,NA,NA
1983,NA,0.021880379,NA,-7.374742063,NA,NA
1984,0,-0.131396477,NA,-6.143415816,NA,NA
1985,NA,-0.478292534,NA,-8.378463732,NA,NA
1986,NA,0.31323978,NA,-9.993926828,NA,NA
1987,1.837695196,0.2374598,NA,-11.53217913,NA,NA
1988,NA,-0.201506015,NA,-12.83874326,NA,NA
1989,NA,-1.044525402,NA,-13.81476753,0,NA
1990,7.347466414,-1.865028642,NA,-14.70362668,-0.058885293,NA
1991,NA,-1.460377018,NA,-15.76945829,-0.076746837,NA
1992,NA,-1.962421652,NA,-17.69255345,-0.10654472,NA
1993,15.41101054,-1.891754598,NA,-18.03460928,-0.165848607,NA
1994,NA,-1.76409452,NA,-18.53435262,-0.181354896,NA
1995,NA,-2.418495317,NA,-18.19666664,-0.072015685,NA
1996,3.800491395,-2.999390067,NA,-18.36306798,0.034362194,NA
1997,NA,-2.284809021,NA,-17.6275859,0.141913031,NA
1998,NA,-1.925668007,NA,-16.374997,0.192682777,NA
1999,9.433147895,-1.046161435,NA,-13.71161696,0.212255574,NA
2000,NA,-0.468837378,NA,-12.64421068,0.308936888,NA
2001,NA,-0.432689046,NA,-13.0269023,0.323353487,NA
2002,NA,-0.359759122,NA,-15.14650232,0.279568565,NA
2003,12.31154107,-1.145020192,NA,-18.00504692,0.207537599,0
2004,NA,-2.220806892,NA,-20.09169111,-0.01987413,8.086071568
2005,10.3816369,-2.661971188,NA,-20.30442318,-0.05357302,15.09984517
2006,NA,-2.092127065,NA,-19.82461149,0.09670731,18.60832123
2007,10.30529516,-1.224563008,NA,-20.07633419,0.214132367,24.41302644
2008,NA,-0.772675022,0,-20.9461134,0.057115918,25.74716182
2009,12.09635532,-0.428763546,0.420913694,-22.06697097,0.168519181,24.15952244
2010,NA,-0.490131193,0.799130345,-21.09584945,0.096562063,23.98443855
2011,13.4807588,-0.915764624,1.179791242,-20.13029278,-0.003345862,23.11904712
2012,NA,-1.003753066,1.892104535,-18.14310502,-0.117788284,20.81208369
2013,12.27698478,-0.658176937,2.559180661,-18.05438548,-0.186576947,14.67219344
2014,NA,0.060132958,2.998650783,NA,-0.20379003,12.68721899
2015,8.7861042,0.673765305,3.250352968,-19.57291705,0.019472116,14.90611129
2016,NA,0.936022082,3.305479109,-18.91037613,0.173150379,21.85095068
2017,9.397066803,1.080647047,2.543769949,-19.81954117,0.307194974,21.46406152
2018,NA,1.146833934,1.973909203,-19.65168699,0.383549071,17.93423367
2019,11.53968275,1.087164921,1.842655565,-19.95351061,0.537891075,NA
